Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large,,v1small,v2small,diffsmall
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,
1,7.099,7.846,-0.747,,8.032,6.82,1.212
3,6.996,6.922,0.074,,200.786,6.891,193.895
5,7.057,7.003,0.054,,7.146,6.859,0.287
7,7.033,6.98,0.053,,7.175,6.895,0.28
9,7.039,7.001,0.038,,7.176,6.88,0.296
11,7.047,7.242,-0.195,,7.113,6.875,0.238
13,7.047,6.968,0.079,,7.147,6.893,0.254
15,7.082,6.879,0.203,,7.148,6.826,0.322
17,7.062,6.973,0.089,,7.203,6.957,0.246
19,7.102,7.011,0.091,,7.166,7.11,0.056
21,7.132,6.928,0.204,,7.197,6.92,0.277
23,7.188,7.029,0.159,,7.194,6.937,0.257
25,7.258,7.093,0.165,,7.234,7.037,0.197
27,7.35,7.172,0.178,,7.341,7.03,0.311
29,7.386,7.234,0.152,,7.411,7.157,0.254
31,7.421,7.498,-0.077,,7.545,7.247,0.298
33,7.589,7.541,0.048,,7.595,7.235,0.36
35,7.695,7.466,0.229,,7.828,7.337,0.491
37,7.843,7.584,0.259,,7.925,7.444,0.481
39,7.952,7.61,0.342,,7.965,7.414,0.551
41,8.014,7.617,0.397,,8.156,7.59,0.566
43,8.484,7.912,0.572,,8.221,7.852,0.369
45,8.595,7.578,1.017,,8.031,8.009,0.022
47,8.551,8.049,0.502,,8.368,7.81,0.558
49,8.426,8.1,0.326,,8.584,8.181,0.403
51,9.165,8.302,0.863,,8.894,7.785,1.109
53,9.143,8.333,0.81,,8.746,8.14,0.606
55,9.548,8.381,1.167,,9.187,8.095,1.092
57,10.057,8.336,1.721,,10.245,8.472,1.773
59,9.332,8.263,1.069,,9.6,8.31,1.29
61,9.795,8.847,0.948,,9.514,8.261,1.253
63,9.813,8.547,1.266,,9.646,8.607,1.039
65,9.961,8.641,1.32,,9.222,8.416,0.806
67,10.165,9.008,1.157,,9.275,8.322,0.953
69,10.293,8.952,1.341,,9.778,8.635,1.143
71,10.012,9.125,0.887,,9.984,8.579,1.405
73,11.299,8.562,2.737,,10.375,8.943,1.432
75,10.251,8.799,1.452,,10.49,8.822,1.668
77,11.096,9.663,1.433,,9.714,8.792,0.922
79,11.427,9.172,2.255,,10.22,8.916,1.304
81,10.363,9.465,0.898,,10.031,9.374,0.657
83,11.244,9.265,1.979,,10.829,8.564,2.265
85,11.431,9.677,1.754,,10.803,9.301,1.502
87,11.574,9.502,2.072,,10.304,9.397,0.907
89,11.852,9.411,2.441,,10.723,9.298,1.425
91,12.018,9.779,2.239,,10.615,9.046,1.569
93,12.217,10.886,1.331,,10.413,9.648,0.765
95,12.424,10.275,2.149,,11.137,10.1,1.037
97,12.7,10.858,1.842,,10.542,9.847,0.695
99,12.293,10.317,1.976,,11.844,9.571,2.273
101,12.339,9.917,2.422,,11.265,9.358,1.907
103,13.508,10.165,3.343,,11.53,10.205,1.325
105,13.218,10.439,2.779,,12.137,10.841,1.296
107,12.616,10.383,2.233,,12.022,10.404,1.618
109,12.362,11.171,1.191,,11.937,10.205,1.732
111,12.31,11.802,0.508,,12.423,10.537,1.886
113,13.045,10.559,2.486,,12.666,11.7,0.966
115,12.604,11.963,0.641,,13.245,10.206,3.039
117,14.858,11.209,3.649,,13.156,11.04,2.116
119,15.101,12.245,2.856,,12.977,10.833,2.144
121,13.121,12.276,0.845,,12.381,11.15,1.231
123,13.672,11.822,1.85,,12.202,10.428,1.774
125,13.958,11.774,2.184,,13.446,13.404,0.042
127,15.001,12.325,2.676,,12.871,11.217,1.654
129,14.213,11.541,2.672,,13.908,11.914,1.994
131,13.697,12.62,1.077,,13.877,11.331,2.546
133,14.2,12.441,1.759,,13.266,12.151,1.115
135,13.898,11.879,2.019,,15.656,12.711,2.945
137,15.8,13.062,2.738,,15.064,11.485,3.579
139,15.012,12.283,2.729,,14.497,12.678,1.819
141,14.71,12.737,1.973,,14.549,11.854,2.695
143,15.669,13.056,2.613,,13.635,11.854,1.781
145,14.65,12.848,1.802,,13.369,12.069,1.3
147,14.37,14.664,-0.294,,16.18,13.746,2.434
149,15.46,13.671,1.789,,14.046,13.575,0.471
151,14.315,14.399,-0.084,,13.876,12.32,1.556
153,17.969,14.294,3.675,,13.906,12.153,1.753
155,15.432,15.082,0.35,,15.089,13.187,1.902
157,17.471,13.694,3.777,,14.551,13.658,0.893
159,14.398,12.723,1.675,,15.295,13.114,2.181
161,15.93,13.364,2.566,,13.069,12.243,0.826
163,15.848,13.186,2.662,,15.416,12.461,2.955
165,16.091,13.695,2.396,,19.091,13.076,6.015
167,15.358,14.82,0.538,,17.511,12.144,5.367
169,15.488,14.086,1.402,,16.272,14.116,2.156
171,17.664,13.309,4.355,,15.937,13.668,2.269
173,16.307,15.861,0.446,,18.273,14.172,4.101
175,14.733,17.109,-2.376,,15.301,14.499,0.802
177,18.889,15.416,3.473,,15.268,14.027,1.241
179,15.973,16.601,-0.628,,14.45,14.342,0.108
181,17.381,15.642,1.739,,16.263,14.62,1.643
183,18.273,18.068,0.205,,18.848,15.001,3.847
185,20.969,16.968,4.001,,15.082,17.261,-2.179
187,18.197,15.25,2.947,,16.504,16.905,-0.401
189,16.366,13.905,2.461,,16.789,15.198,1.591
191,16.82,14.048,2.772,,15.562,15.61,-0.048
193,20.11,16.113,3.997,,16.103,12.677,3.426
195,17.967,15.757,2.21,,23.431,14.248,9.183
197,19.031,14.449,4.582,,21.026,14.701,6.325
199,20.465,16.993,3.472,,16.368,14.179,2.189
201,21.866,15.128,6.738,,18.975,16.107,2.868
203,23.072,14.927,8.145,,20.692,14.408,6.284
205,18.672,15.788,2.884,,16.667,15.071,1.596
207,20.952,18.993,1.959,,19.609,16.712,2.897
209,17.144,16.41,0.734,,19.357,18.35,1.007
211,20.686,16.396,4.29,,20.923,17.001,3.922
213,18.741,19.539,-0.798,,18.654,16.848,1.806
215,20.607,18.315,2.292,,19.583,17.264,2.319
217,20.925,16.353,4.572,,19.14,15.487,3.653
219,19.878,21.612,-1.734,,20.955,16.885,4.07
221,20.519,16.531,3.988,,21.703,16.045,5.658
223,21.915,19.821,2.094,,18.622,15.981,2.641
225,25.741,17.069,8.672,,22.265,17.744,4.521
227,20.556,18.535,2.021,,21.249,18.053,3.196
229,24.182,18.312,5.87,,24.713,19.04,5.673
231,22.238,19.16,3.078,,22.994,18.691,4.303
233,21.061,19.038,2.023,,22.213,17.013,5.2
235,23.061,20.183,2.878,,25.649,16.864,8.785
237,29.055,18.989,10.066,,20.941,19.004,1.937
239,35.567,19.316,16.251,,25.782,17.89,7.892
241,32.786,20.334,12.452,,27.8,19.297,8.503
243,24.08,20.561,3.519,,23.663,18.754,4.909
245,19.546,18.338,1.208,,28.739,19.935,8.804
247,27.619,22.736,4.883,,22.546,22.021,0.525
249,29.838,18.295,11.543,,35.535,19.02,16.515
251,32.601,18.086,14.515,,27.836,19.885,7.951
253,30.215,20.131,10.084,,27.364,24.131,3.233
255,35.21,20.638,14.572,,33.921,22.037,11.884
257,38.21,19.94,18.27,,27.813,19.829,7.984
259,30.238,23.489,6.749,,30.696,18.747,11.949
261,38.82,25.911,12.909,,28.754,21.955,6.799
263,31.363,27.56,3.803,,34.723,20.428,14.295
265,40.965,22.956,18.009,,37.403,21.005,16.398
267,36.954,25.45,11.504,,37.377,22.238,15.139
269,33.837,22.341,11.496,,33.652,23.715,9.937
271,26.695,21.139,5.556,,33.161,22.478,10.683
273,35.227,21.894,13.333,,35.595,20.321,15.274
275,34.637,28.661,5.976,,30.918,21.36,9.558
277,39.047,25.469,13.578,,40.301,26.184,14.117
279,40.659,28.282,12.377,,37.032,25.044,11.988
281,44.003,28.717,15.286,,36.224,27.225,8.999
283,34.692,28.04,6.652,,36.877,25.428,11.449
285,38.53,27.452,11.078,,37.525,28.243,9.282
287,39.316,28.44,10.876,,34.61,26.16,8.45
289,47.534,22.598,24.936,,36.987,27.6,9.387
291,48.518,31.656,16.862,,37.217,27.133,10.084
293,42.161,27.3,14.861,,42.354,29.833,12.521
295,42.681,26.491,16.19,,44.42,26.682,17.738
297,49.862,29.129,20.733,,38.044,24.233,13.811
299,41.218,26.985,14.233,,40.269,28.477,11.792
301,36.264,27.224,9.04,,31.612,26.854,4.758
303,39.007,27.073,11.934,,34.342,28.771,5.571
305,53.686,33.838,19.848,,38.318,25.718,12.6
307,47.271,29.04,18.231,,46.67,27.027,19.643
309,50.423,33.972,16.451,,46.414,33.091,13.323
311,58.385,35.047,23.338,,42.481,34.285,8.196
313,57.111,31.834,25.277,,36.795,35.274,1.521
315,51.946,37.401,14.545,,43.45,31.585,11.865
317,59.244,33.952,25.292,,42.217,33.555,8.662
319,58.537,30.536,28.001,,38.165,28.352,9.813
321,53.077,37.513,15.564,,50.668,37.479,13.189
323,56.153,36.737,19.416,,48.561,34.08,14.481
325,61.773,33.59,28.183,,36.961,33.605,3.356
327,58.835,33.665,25.17,,43.087,35.371,7.716
329,63.141,33.506,29.635,,49.435,27.12,22.315
331,48.257,31.52,16.737,,45.967,31.128,14.839
333,55.432,36.353,19.079,,49.933,28.468,21.465
335,52.173,37.142,15.031,,50.653,32.596,18.057
337,57.957,45.442,12.515,,47.072,38.132,8.94
339,67.44,40.964,26.476,,56.43,35.344,21.086
341,59.401,35.25,24.151,,54.213,45.597,8.616
343,58.407,34.318,24.089,,48.985,40.868,8.117
345,61.082,36.176,24.906,,48.949,37.971,10.978
347,69.077,41.271,27.806,,52.41,41.262,11.148
349,58.329,39.688,18.641,,48.571,35.738,12.833
351,58.48,36.547,21.933,,49.587,35.01,14.577
353,66.202,42.737,23.465,,48.928,50.534,-1.606
355,56.83,38.546,18.284,,56.371,38.121,18.25
357,69.722,35.085,34.637,,54.183,38.062,16.121
359,71.439,37.965,33.474,,52.83,34.073,18.757
361,72.922,41.454,31.468,,57.529,35.971,21.558
363,72.603,43.776,28.827,,55.902,41.186,14.716
365,62.43,43.824,18.606,,53.686,35.564,18.122
367,80.254,44.178,36.076,,64.178,45.618,18.56
369,68.88,43.351,25.529,,45.82,41.732,4.088
371,65.761,43.558,22.203,,65.573,42.634,22.939
373,58.596,36.894,21.702,,55.208,47.675,7.533
375,73.023,43.983,29.04,,60.521,47.377,13.144
377,76.68,51.249,25.431,,62.472,40.338,22.134
379,71.931,46.408,25.523,,66.664,43.433,23.231
381,79.032,45.517,33.515,,60.956,42.884,18.072
383,83.711,44.973,38.738,,75.201,44.882,30.319
385,73.167,42.628,30.539,,68.659,46.376,22.283
387,84.268,45.575,38.693,,67.03,43.265,23.765
389,76.011,46.177,29.834,,69.619,33.39,36.229
391,70.989,50.053,20.936,,62.91,37.023,25.887
393,75.241,49.173,26.068,,62.499,45.005,17.494
395,73.202,47.424,25.778,,61.246,50.911,10.335
397,65.311,55.499,9.812,,67.03,53.607,13.423
399,72.106,56.831,15.275,,67.03,47.512,19.518
401,84.487,53.987,30.5,,63.787,53.877,9.91
403,81.719,50.969,30.75,,75.207,58.232,16.975
405,76.411,48.478,27.933,,80.843,40.307,40.536
407,90.177,53.941,36.236,,67.216,49.42,17.796
409,91.811,54.258,37.553,,76.802,55.763,21.039
411,81.193,47.95,33.243,,68.543,49.406,19.137
413,84.822,49.096,35.726,,62.054,46.83,15.224
415,91.25,47.909,43.341,,78.252,47.508,30.744
417,87.187,45.618,41.569,,81.191,52.132,29.059
419,92.241,52.555,39.686,,83.603,47.913,35.69
421,90.961,64.526,26.435,,83.729,58.096,25.633
423,86.304,52.935,33.369,,82.802,56.352,26.45
425,96.102,64.412,31.69,,70.619,52.573,18.046
427,88.319,58.345,29.974,,73.284,58.256,15.028
429,94.297,58.161,36.136,,83.895,56.717,27.178
431,82.662,47.636,35.026,,83.001,60.305,22.696
433,81.66,59.841,21.819,,80.174,50.472,29.702
435,87.18,60.912,26.268,,90.284,57.49,32.794
437,93.545,55.523,38.022,,82.863,56.38,26.483
439,86.347,63.934,22.413,,87.646,64.313,23.333
441,86.713,58.877,27.836,,91.619,64.727,26.892
443,97.999,63.849,34.15,,76.866,62.439,14.427
445,98.797,47.472,51.325,,84.176,50.824,33.352
447,87.578,43.291,44.287,,78.666,47.667,30.999
449,103.849,60.624,43.225,,81.307,56.048,25.259
451,97.215,63.271,33.944,,81.265,60.888,20.377
453,98.125,56.97,41.155,,91.422,61.03,30.392
455,94.51,57.925,36.585,,83.542,61.001,22.541
457,98.823,61.633,37.19,,75.544,61.666,13.878
459,107.665,62.319,45.346,,85.418,58.406,27.012
461,103.186,67.911,35.275,,78.767,64.303,14.464
463,106.999,66.43,40.569,,81.293,64.319,16.974
465,96.509,81.837,14.672,,80.199,61.926,18.273
467,104.492,55.621,48.871,,89.287,67.256,22.031
469,122.201,56.521,65.68,,94.086,61.738,32.348
471,115.483,52.792,62.691,,92.376,62.061,30.315
473,103.028,66.493,36.535,,88.217,58.247,29.97
475,99.63,48.276,51.354,,94.008,63.75,30.258
477,110.296,71.185,39.111,,93.23,51.999,41.231
479,104.994,71.678,33.316,,88.085,68.025,20.06
481,109.559,65.524,44.035,,81.431,65.06,16.371
483,101.37,76.853,24.517,,92.887,67.372,25.515
485,96.924,68.274,28.65,,97.788,65.493,32.295
487,113.974,64.252,49.722,,95.311,66.559,28.752
489,111.327,70.853,40.474,,105.376,70.029,35.347
491,112.734,63.53,49.204,,88.152,65.28,22.872
493,116.922,67.942,48.98,,100.583,76.421,24.162
495,104.186,67.797,36.389,,102.705,63.591,39.114
497,94.195,67.271,26.924,,109.965,67.131,42.834
499,111.287,73.275,38.012,,111.234,77.834,33.4
501,123.843,59.682,64.161,,94.397,59.482,34.915
503,118.819,69.952,48.867,,108.886,60.113,48.773
505,127.361,66.943,60.418,,99.536,68.233,31.303
507,125.253,66.145,59.108,,95.648,73.159,22.489
509,122.837,78.561,44.276,,97.083,66.113,30.97
511,124.394,72.366,52.028,,120.083,72.345,47.738
513,118.607,84.204,34.403,,111.707,67.267,44.44
515,127.358,68.649,58.709,,101.942,68.18,33.762
517,134.213,69.82,64.393,,123.537,72.217,51.32
519,123.856,83.843,40.013,,100.771,72.486,28.285
521,137.526,79.607,57.919,,105.671,72.129,33.542
523,144.412,72.036,72.376,,114.842,69.465,45.377
525,132.829,70.283,62.546,,117.462,71.351,46.111
527,150.117,82.823,67.294,,101.407,74.648,26.759
529,139.632,74.653,64.979,,131.349,70.395,60.954
531,125.439,54.757,70.682,,121.554,70.097,51.457
533,128.993,61.87,67.123,,118.82,69.78,49.04
535,112.973,72.141,40.832,,146.992,76.145,70.847
537,114.374,79.728,34.646,,119.761,74.57,45.191
539,111.841,85.788,26.053,,124.252,67.13,57.122
541,124.196,85.376,38.82,,114.758,73.239,41.519
543,130.002,77.078,52.924,,118.015,65.562,52.453
545,128.086,79.428,48.658,,118.943,86.58,32.363
547,133.956,65.844,68.112,,125.442,90.995,34.447
549,142.065,84.759,57.306,,131.032,84.475,46.557
551,122.513,65.949,56.564,,133.774,78.179,55.595
553,125.938,70.748,55.19,,123.469,77.527,45.942
555,136.393,73.987,62.406,,132.634,78.26,54.374
557,145.352,88.626,56.726,,129.057,68.746,60.311
559,136.471,73.162,63.309,,121.827,65.457,56.37
561,135.677,56.795,78.882,,136.204,70.468,65.736
563,145.416,83.016,62.4,,144.655,66.696,77.959
565,157.949,73.333,84.616,,122.815,84.061,38.754
567,142.052,79.251,62.801,,116.226,87.854,28.372
569,137.574,83.465,54.109,,148.625,71.159,77.466
571,137.904,82.79,55.114,,117.384,80.26,37.124
573,122.924,90.914,32.01,,135.709,84.379,51.33
575,141.238,80.562,60.676,,129.137,66.088,63.049
577,136.919,73.302,63.617,,133.547,71.123,62.424
579,136.276,84.452,51.824,,136.375,73.393,62.982
581,143.722,82.216,61.506,,130.241,78.768,51.473
583,147.26,71.969,75.291,,140.577,72.013,68.564
585,155.538,70.154,85.384,,123.864,77.346,46.518
587,157.127,68.809,88.318,,146.491,76.837,69.654
589,133.771,88.407,45.364,,129.562,82.668,46.894
591,136.12,61.664,74.456,,132.41,69.044,63.366
593,142.441,89.939,52.502,,135.299,82.988,52.311
595,144.49,86.885,57.605,,125.05,77.073,47.977
597,143.855,80.421,63.434,,142.84,79.347,63.493
599,153.968,88.134,65.834,,148.136,74.602,73.534
601,157.85,88.513,69.337,,152.715,79.931,72.784
603,150.694,88.827,61.867,,195.725,74.237,121.488
605,145.192,87.867,57.325,,146.475,89.079,57.396
607,169.31,84.563,84.747,,143.006,84.648,58.358
609,171.466,76.556,94.91,,144.429,81.233,63.196
611,143.917,82.807,61.11,,158.129,78.481,79.648
613,172.872,90.158,82.714,,161.006,84.46,76.546
615,158.232,84.64,73.592,,161.04,76.59,84.45
617,155.425,82.8,72.625,,146.348,90.622,55.726
619,169.528,63.705,105.823,,132.243,77.298,54.945
621,137.55,96.584,40.966,,141.919,86.933,54.986
623,154.003,96.737,57.266,,136.097,85.528,50.569
625,154.596,85.492,69.104,,151.238,98.976,52.262
627,147.936,95.526,52.41,,154.096,84.929,69.167
629,146.514,74.363,72.151,,161.864,78.027,83.837
631,154.044,91.988,62.056,,151.625,85.998,65.627
633,149.494,87.07,62.424,,153.954,89.835,64.119
635,143.179,87.997,55.182,,152.617,88.41,64.207
637,172.809,84.397,88.412,,148.833,93.557,55.276
639,160.481,93.953,66.528,,161.393,96.015,65.378
641,151.622,80.839,70.783,,143.869,96.927,46.942
643,166.309,87.433,78.876,,160.459,95.719,64.74
645,176.675,88.225,88.45,,210.599,75.653,134.946
647,172.075,92.489,79.586,,209.195,100.248,108.947
649,153.777,92.147,61.63,,150.405,93.754,56.651
651,151.41,90.943,60.467,,146.893,81.483,65.41
653,167.058,106.766,60.292,,138.014,86.211,51.803
655,157.446,96.397,61.049,,142.804,90.551,52.253
657,141.937,103.094,38.843,,153.987,110.647,43.34
659,152.753,96.531,56.222,,152.172,74.61,77.562
661,153.162,98.158,55.004,,167.066,95.28,71.786
663,167.497,103.975,63.522,,152.893,91.01,61.883
665,170.597,99.293,71.304,,149.494,85.542,63.952
667,161.686,91.09,70.596,,145.944,85.092,60.852
669,146.506,100.251,46.255,,145.726,92.989,52.737
671,151.553,88.209,63.344,,152.552,91.19,61.362
673,150.731,91.069,59.662,,154.728,88.582,66.146
675,144.995,91.61,53.385,,152.773,96.054,56.719
677,133.928,107.028,26.9,,156.42,83.169,73.251
679,159.171,111.86,47.311,,161.517,108.585,52.932
681,148.952,105.907,43.045,,153.555,92.396,61.159
683,167.767,99.661,68.106,,172.114,82.993,89.121
685,161.655,98.726,62.929,,168.197,91.114,77.083
687,164.414,110.47,53.944,,153.679,89.12,64.559
689,153.115,90.113,63.002,,151.067,100.345,50.722
691,147.586,82.54,65.046,,165.186,85.588,79.598
693,261.649,103.979,157.67,,168.375,91.171,77.204
695,186.398,91.75,94.648,,216.665,96.248,120.417
697,146.845,106.388,40.457,,166.965,98.379,68.586
699,148.716,91.275,57.441,,163.499,87.731,75.768
701,161.21,95.129,66.081,,156.407,97.658,58.749
703,165.994,92.981,73.013,,150.691,92.072,58.619
705,149.719,88.804,60.915,,161.472,106.174,55.298
707,145.679,116.705,28.974,,138.334,104.3,34.034
709,155.1,101.775,53.325,,148.616,97.827,50.789
711,140.904,102.284,38.62,,153.44,103.853,49.587
713,149.932,111.92,38.012,,142.33,110.085,32.245
715,156.592,96.287,60.305,,146.99,105.602,41.388
717,166.32,95.481,70.839,,245.267,100.17,145.097
719,152.177,108.598,43.579,,284.521,100.936,183.585
721,163.453,106.631,56.822,,199.418,101.613,97.805
723,156.249,113.498,42.751,,136.537,105.15,31.387
725,147.221,105.714,41.507,,133.637,117.287,16.35
727,153.61,103.785,49.825,,140.459,122.705,17.754
729,163.411,104.401,59.01,,164.054,113.746,50.308
731,170.521,106.918,63.603,,163.161,98.017,65.144
733,159.693,98.79,60.903,,138.852,109.409,29.443
735,158.332,109.525,48.807,,148.229,90.005,58.224
737,480.531,119.9,360.631,,138.508,96.916,41.592
739,540.542,101.447,439.095,,161.521,98.79,62.731
741,170.493,109.178,61.315,,164.932,118.859,46.073
743,212.218,116.147,96.071,,172.633,114.035,58.598
745,294.968,97.246,197.722,,332.444,102.361,230.083
747,182.245,105.887,76.358,,149.028,113.636,35.392
749,142.192,119.996,22.196,,148.849,101.143,47.706
Sun Mar 15 16:57:35 2015,,,,,,,
